epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5637.84,1.6692,2.55375,1.56583,0.74715,0.25,0.25725,0.10422,0.21497,1.46395,0.22844,0.005842,0.005842,0.005842
44,5770.97,1.77337,2.45856,1.62514,0.76603,0.26613,0.28314,0.12464,0.20746,3.61788,0.2177,0.005743,0.005743,0.005743
45,5905.46,1.73029,2.44981,1.62434,0.72541,0.27016,0.26896,0.11724,0.20292,2.03673,0.21808,0.005644,0.005644,0.005644
46,6035.57,1.70397,2.45118,1.57888,0.73896,0.26411,0.26396,0.11478,0.21367,2.16385,0.22592,0.005545,0.005545,0.005545
47,6165.49,1.71723,2.38092,1.57692,0.76762,0.27419,0.29186,0.1312,0.20762,1.40011,0.22071,0.005446,0.005446,0.005446
48,6297.36,1.70481,2.38533,1.58839,0.78008,0.26815,0.28213,0.13083,0.20963,1.21044,0.21986,0.005347,0.005347,0.005347
49,6428.45,1.7317,2.43043,1.61895,0.75516,0.27218,0.29133,0.13009,0.20753,1.9221,0.21894,0.005248,0.005248,0.005248
50,6558.32,1.74415,2.42278,1.65,0.75234,0.26815,0.29472,0.13307,0.20307,1.5855,0.21698,0.005149,0.005149,0.005149
51,6689.69,1.63978,2.25901,1.53263,0.74638,0.27823,0.29758,0.13292,0.20576,1.58696,0.21853,0.00505,0.00505,0.00505
52,6819.86,1.6366,2.30699,1.52792,0.78596,0.29091,0.30874,0.13615,0.20372,2.03901,0.2176,0.004951,0.004951,0.004951
53,6954.15,1.66793,2.29765,1.55028,0.76383,0.26815,0.30011,0.13113,0.21236,1.26085,0.22489,0.004852,0.004852,0.004852
54,7084.51,1.65605,2.30597,1.54272,0.77923,0.28226,0.29294,0.12726,0.20452,1.57806,0.22052,0.004753,0.004753,0.004753
55,7215.18,1.70991,2.34812,1.57686,0.76891,0.28831,0.31226,0.13546,0.20441,1.4835,0.21968,0.004654,0.004654,0.004654
56,7345.92,1.62676,2.33511,1.5227,0.76778,0.29759,0.31623,0.1399,0.20501,1.72675,0.21972,0.004555,0.004555,0.004555
57,7477.7,1.69939,2.35493,1.57453,0.78047,0.29106,0.31322,0.13598,0.20727,1.61951,0.22172,0.004456,0.004456,0.004456
58,7608.17,1.73321,2.33705,1.61249,0.77772,0.29839,0.31806,0.13724,0.20766,2.53088,0.21892,0.004357,0.004357,0.004357
59,7737.49,1.68972,2.28743,1.57561,0.77172,0.29032,0.3123,0.14238,0.20719,1.76178,0.22024,0.004258,0.004258,0.004258
60,7867.41,1.60635,2.27501,1.52182,0.7896,0.28831,0.3248,0.14309,0.20914,1.77265,0.22049,0.004159,0.004159,0.004159
61,7996.92,1.58459,2.28119,1.50347,0.78134,0.29234,0.31273,0.14032,0.20799,1.80411,0.21783,0.00406,0.00406,0.00406
62,8125.38,1.65497,2.21929,1.53382,0.78662,0.30847,0.32859,0.1431,0.20814,1.68612,0.21984,0.003961,0.003961,0.003961
63,8256.38,1.63586,2.20029,1.52523,0.7806,0.28226,0.31323,0.13739,0.20864,1.67191,0.21907,0.003862,0.003862,0.003862
64,8385.96,1.63796,2.20845,1.5498,0.75994,0.30127,0.33118,0.15628,0.20158,1.93922,0.21386,0.003763,0.003763,0.003763
65,8517,1.6324,2.15475,1.50864,0.77088,0.28603,0.32086,0.14701,0.20526,1.34216,0.21738,0.003664,0.003664,0.003664
66,8647.08,1.65491,2.18595,1.5557,0.78909,0.30399,0.33126,0.14858,0.20685,1.82322,0.21833,0.003565,0.003565,0.003565
67,8776.49,1.5891,2.06224,1.52791,0.76042,0.30645,0.3289,0.15162,0.20363,2.15901,0.21689,0.003466,0.003466,0.003466
68,8907.4,1.60865,2.12558,1.51976,0.76777,0.31855,0.33419,0.15291,0.20079,1.88624,0.21505,0.003367,0.003367,0.003367
69,9037.71,1.56389,2.11992,1.48921,0.77075,0.32258,0.33319,0.15116,0.20267,2.16193,0.21599,0.003268,0.003268,0.003268
70,9168.23,1.58668,2.08578,1.50643,0.7893,0.30847,0.33892,0.15361,0.20013,2.08246,0.21414,0.003169,0.003169,0.003169
71,9298.79,1.55907,2.0906,1.50277,0.79334,0.29839,0.33611,0.1529,0.20382,1.43777,0.2181,0.00307,0.00307,0.00307
72,9428.74,1.59484,2.06932,1.52039,0.77766,0.31723,0.32946,0.14627,0.20218,2.12127,0.21665,0.002971,0.002971,0.002971
73,9558.05,1.61544,2.08976,1.5228,0.78094,0.31544,0.34722,0.15634,0.20402,1.80995,0.21766,0.002872,0.002872,0.002872
74,9688.51,1.57081,2.06139,1.47314,0.77945,0.31167,0.35493,0.15911,0.20618,1.45867,0.21759,0.002773,0.002773,0.002773
75,9819.43,1.58158,2.02709,1.49536,0.77575,0.31855,0.34345,0.15372,0.20794,1.62954,0.21939,0.002674,0.002674,0.002674
76,9948.52,1.55515,2.02361,1.4873,0.77935,0.3125,0.3464,0.15744,0.20724,1.19116,0.21954,0.002575,0.002575,0.002575
77,10077.6,1.61338,2.12871,1.53657,0.77168,0.31855,0.33498,0.15351,0.20498,1.86083,0.21762,0.002476,0.002476,0.002476
