epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1652.96,1.50429,1.53089,1.48576,0.33037,0.43519,0.32761,0.15512,0.26261,3.89321,0.24085,0.005743,0.005743,0.005743
45,1688.37,1.51068,1.55541,1.50461,0.38861,0.34392,0.35199,0.16106,0.26853,4.49693,0.24613,0.005644,0.005644,0.005644
46,1723.47,1.47145,1.48002,1.46655,0.47265,0.32643,0.33641,0.16567,0.26144,2.49016,0.24866,0.005545,0.005545,0.005545
47,1758.77,1.49498,1.50897,1.48502,0.48314,0.33157,0.3667,0.17427,0.26876,3.20325,0.25081,0.005446,0.005446,0.005446
48,1794.24,1.46814,1.44832,1.47432,0.3939,0.37853,0.33811,0.16026,0.26297,2.48723,0.24641,0.005347,0.005347,0.005347
49,1829.64,1.46174,1.41768,1.4524,0.4175,0.35414,0.34393,0.15963,0.27466,5.24332,0.2495,0.005248,0.005248,0.005248
50,1865.05,1.43817,1.39522,1.4252,0.38514,0.42025,0.36915,0.17244,0.26285,2.80828,0.24044,0.005149,0.005149,0.005149
51,1900.47,1.43534,1.37221,1.42657,0.39933,0.37001,0.35291,0.16805,0.26051,2.39663,0.23962,0.00505,0.00505,0.00505
52,1935.75,1.41472,1.39134,1.42184,0.33513,0.38471,0.33133,0.1577,0.26092,4.1853,0.24282,0.004951,0.004951,0.004951
53,1971.05,1.3988,1.35271,1.42352,0.38308,0.33534,0.32271,0.15921,0.26166,3.75441,0.24458,0.004852,0.004852,0.004852
54,2006.45,1.37222,1.3306,1.4067,0.36891,0.32903,0.32009,0.15125,0.26529,4.03956,0.24871,0.004753,0.004753,0.004753
55,2041.84,1.36534,1.27724,1.39381,0.35013,0.46354,0.35647,0.17226,0.26666,5.13114,0.24733,0.004654,0.004654,0.004654
56,2076.95,1.36569,1.28175,1.38493,0.3372,0.40818,0.34694,0.16793,0.266,3.28657,0.24644,0.004555,0.004555,0.004555
57,2112.08,1.35565,1.25466,1.38232,0.34228,0.43552,0.34369,0.1675,0.26303,4.35403,0.24499,0.004456,0.004456,0.004456
58,2147.3,1.34783,1.23823,1.38879,0.36116,0.40419,0.34943,0.1706,0.26841,3.81615,0.24991,0.004357,0.004357,0.004357
59,2182.69,1.33894,1.24131,1.37654,0.35884,0.43922,0.34933,0.17214,0.26994,3.60929,0.24823,0.004258,0.004258,0.004258
60,2217.78,1.32641,1.23404,1.36191,0.33278,0.41638,0.35091,0.16787,0.26832,2.75138,0.24684,0.004159,0.004159,0.004159
61,2253.14,1.29067,1.16149,1.34641,0.45578,0.35276,0.36861,0.17604,0.26841,3.87315,0.24991,0.00406,0.00406,0.00406
62,2288.4,1.3016,1.16327,1.35974,0.40951,0.42249,0.35119,0.16755,0.27413,3.17015,0.25583,0.003961,0.003961,0.003961
63,2323.82,1.28441,1.14484,1.34003,0.3997,0.4106,0.36388,0.17538,0.27395,4.28419,0.2523,0.003862,0.003862,0.003862
64,2359.32,1.28456,1.16091,1.34057,0.41147,0.36194,0.35942,0.17639,0.27167,3.72,0.25449,0.003763,0.003763,0.003763
65,2394.79,1.27261,1.11997,1.32829,0.40665,0.41935,0.37786,0.1819,0.27192,5.28133,0.25376,0.003664,0.003664,0.003664
66,2429.91,1.26526,1.13783,1.3327,0.37059,0.4411,0.37665,0.18357,0.27404,4.60324,0.25569,0.003565,0.003565,0.003565
67,2465.26,1.26175,1.1218,1.33181,0.34087,0.44689,0.37111,0.1856,0.26961,3.02191,0.25213,0.003466,0.003466,0.003466
68,2500.53,1.24478,1.09319,1.31563,0.41982,0.36838,0.35743,0.17516,0.26994,3.23535,0.25295,0.003367,0.003367,0.003367
69,2535.96,1.22235,1.04599,1.29555,0.3723,0.45083,0.36897,0.18813,0.27264,3.91645,0.25546,0.003268,0.003268,0.003268
