epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5139,2.20982,6.27946,2.14982,0.01673,0.33329,0.02395,0.00962,0.3074,1.79817,0.28867,0.00331915,0.00331915,0.00331915
2,74.2226,2.00349,3.21813,1.82244,0.15334,0.21692,0.09442,0.02999,0.31771,32.7971,0.29545,0.00658662,0.00658662,0.00658662
3,107.051,2.12924,3.31314,1.91927,0.06044,0.05483,0.01273,0.00412,0.38193,24.6439,0.33386,0.0097881,0.0097881,0.0097881
4,135.424,2.24716,3.32067,1.99008,0.06414,0.08385,0.0385,0.0095,0.33671,139.474,0.34068,0.009703,0.009703,0.009703
5,168.631,2.18217,3.19257,2.02212,0.17696,0.08709,0.06549,0.02064,0.33313,4.36467,0.31743,0.009604,0.009604,0.009604
6,195.019,2.08708,2.94958,1.94471,0.25747,0.21927,0.17225,0.05808,0.31114,14.0071,0.31192,0.009505,0.009505,0.009505
7,229.241,2.07911,2.87918,1.95701,0.08744,0.12593,0.03483,0.01121,0.33809,1.28746,0.34905,0.009406,0.009406,0.009406
8,264.091,2.03855,2.75912,1.89304,0.18695,0.38353,0.11172,0.03387,0.30911,109.041,0.30061,0.009307,0.009307,0.009307
9,296.493,2.01177,2.70952,1.88919,0.2388,0.25877,0.18902,0.08076,0.29055,2.8732,0.2861,0.009208,0.009208,0.009208
10,325.774,1.97101,2.61097,1.86007,0.24129,0.23014,0.17616,0.0633,0.3151,2.32836,0.30863,0.009109,0.009109,0.009109
11,354.575,1.93518,2.52456,1.8288,0.27558,0.336,0.23415,0.08987,0.2943,3.00041,0.28835,0.00901,0.00901,0.00901
12,385.423,1.94613,2.53243,1.86366,0.25547,0.32912,0.1748,0.0617,0.30179,8.12665,0.29661,0.008911,0.008911,0.008911
13,413.941,1.90575,2.48853,1.82419,0.71078,0.26006,0.22432,0.08772,0.27949,38.9756,0.278,0.008812,0.008812,0.008812
14,445.138,1.90346,2.41652,1.82742,0.35643,0.23615,0.20279,0.08305,0.28955,5.74988,0.29031,0.008713,0.008713,0.008713
15,471.356,1.86131,2.31401,1.78701,0.41556,0.30496,0.25291,0.10949,0.28533,7.50105,0.28266,0.008614,0.008614,0.008614
16,505.694,1.85908,2.257,1.78156,0.70542,0.25806,0.23617,0.09375,0.28725,30.6949,0.28168,0.008515,0.008515,0.008515
17,531.124,1.84019,2.25439,1.76614,0.34141,0.24045,0.23738,0.10376,0.28623,2.2674,0.2887,0.008416,0.008416,0.008416
